Area,BHK,Parking,Price
3600,4,2,65000000
1200,2,1,27500000
1500,3,2,45000000
2250,4,3,100000000
1800,3,2,47000000
1600,3,2,27500000
2800,4,3,70000000
1700,3,1,36500000
2400,4,1,65000000
1980,3,1,35000000
2100,4,1,56000000
5400,4,2,110000000
1250,3,1,24000000
2300,4,1,102500000
2700,4,2,100000000
1450,3,1,45000000
2097,3,,29000000
1250,3,1,25500000
1600,3,2,33500000
2600,4,3,62500000
1700,3,2,47500000
1116,3,1,14700000
1070,2,1,18000000
1200,3,1,22500000
1200,3,1,22000000
1200,3,1,22200000
1450,3,1,22500000
1000,2,1,7500000
2430,4,5,30000000
945,2,5,6500000
1650,3,5,35000000
1350,3,1,17500000
2625,4,2,60000000
1800,4,2,40000000
125,3,2,11500000
1440,3,2,22500000
1900,3,2,28500000
1800,3,2,29000000
1200,3,1,15500000
1800,3,1,26000000
1200,3,1,16500000
4118,4,3,55000000
1050,3,3,12500000
875,3,3,17500000
990,2,1,11500000
11050,3,1,18500000
